thread_id,comment_count,unique_authors,max_level,reply_edges,reciprocal_author_pairs
38a336d5-dfa7-4211-88d6-6368c4b9b840,206,36,0,199,20
b4b5482a-31db-4470-8bab-990fa169aadd,198,41,0,193,25
175817f5-f833-4c12-8a1c-c1bce56c0df0,130,48,0,127,4
c532ced8-5890-4879-b545-bd3cf75a65ee,124,48,0,123,1
fb9f496a-17de-4fa3-9d8b-c464152258fb,124,47,0,121,2
25f6644e-8946-4546-bbf4-028a3e2f5088,122,49,0,119,2
dcb7dcff-8a32-4eed-bca8-0929d5a6d326,118,52,0,117,1
9ce7a471-7c3c-48ee-9b19-9c727b7219f4,112,40,0,103,4
71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,104,44,0,103,1
95598338-58a5-4158-a0dc-d278051de7e4,100,42,0,99,0
9f2082ba-ccb7-414b-8dbe-5dd9ebbb1b65,73,46,0,68,7
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,61,45,0,59,1
2d350a21-f313-4f28-816c-9d9a6fea17c5,60,44,0,56,2
f92250dd-b7bc-4af7-8d55-79ade4af5198,56,37,0,48,2
961575fd-2c8d-4377-8996-bd0cfc14c2f8,54,41,0,50,1
64d4b72b-9f28-4485-89b5-3c660ba6d56a,54,35,0,49,2
9f5c7820-074d-4dc8-b3b7-7471147d07f1,51,39,0,50,1
70d71186-1584-4fe7-9011-8da9023d99c5,48,20,0,47,1
d9c0f9c8-f9a5-4197-ba42-a4ce8a47edcc,46,7,0,43,5
06e99326-50ad-415d-8dae-74fd373bbcd1,30,10,0,27,1
fbb54109-bdf2-4043-b4b3-74884f13ee13,22,10,0,19,0
a03f5521-872d-4ed0-bd8b-b6331f559c2d,20,10,0,19,0
9577f295-bba8-471b-aa1d-bb3bfedf4d05,18,9,0,17,0
480475f2-5309-4a72-bf9b-16cfe529bd42,16,8,0,15,0
391bdea6-db7a-4112-92a3-c7526c162a81,16,4,0,13,1
b8a5f057-011e-4cb2-ad52-82ece3bb9292,14,7,0,13,0
6c2b3c7e-ab40-4508-8d3f-f179b0d985ee,14,7,0,13,0
64229e14-8e96-4153-bde4-56a6fc88fa64,12,2,0,11,1
782e5652-4210-4d94-8e91-4d630e533771,12,6,0,11,0
93850002-8998-490e-841d-e0ce7af43e72,12,6,0,11,0
b33f7a6b-8157-44bf-ab0c-56b82c0abb73,10,4,0,7,0
b024a197-d9b8-4203-ab9a-ab0b4182350c,10,5,0,9,0
48b25384-3d35-480f-83dc-41981e25bd83,10,5,0,9,0
1212cedb-c6e0-4043-835b-2e59dc80da75,8,4,0,7,0
1f11b4ab-92dc-4b61-9c27-c60f5afc6b04,8,4,0,7,0
1d934b3e-4446-4924-b6cb-adbf95fafc17,8,4,0,7,0
849c365f-2d36-429b-a161-1a8d469fff35,8,4,0,7,0
5be00db1-50fc-4737-b208-33c89a628103,8,4,0,7,0
4d18f560-747d-4a2a-879c-cfee29385f57,8,3,0,5,0
eb903a50-4dc9-4a27-ab21-bdc0d9752e1a,8,8,0,7,0
0152c551-65c5-4825-8898-46071db0c76d,6,3,0,5,0
68978bdd-bdee-409e-973d-9a9200fddab0,5,5,0,4,0
a1f38d2b-26e0-40bd-bab5-ef61abbca32a,5,5,0,4,0
77c84ead-1a0c-4322-aca0-eb8e815c2c7b,4,2,0,3,1
46474b68-2e65-465c-aba2-51dc4d108235,4,2,0,3,1
1f33bf85-a29c-4555-ba7d-bf3c79ed2335,4,2,0,3,1
01002fb4-a215-451b-88ca-fef37bf3709b,4,2,0,3,1
7eb43f4b-b69c-4176-85e7-1ba268607754,4,2,0,3,1
5c960f46-cada-4bee-b83e-50e078ef373c,2,1,0,0,0
7d50825a-5e7a-4f22-b5ab-128198074076,2,1,0,0,0
843bab37-a65e-4165-8f36-33e8cec38a6c,2,1,0,0,0
d4f33c97-55a6-4aaf-9888-b7234b6d72d1,2,2,0,1,0
aa638d3d-a4f4-48f5-abc4-c27908584ee5,2,1,0,0,0
ebd21b0d-02f5-4ff0-9a59-23bcf732de78,2,1,0,0,0
f90d0a01-2b55-44c7-8bfd-8f0b71302b25,2,1,0,0,0
