comment_id,author_id,post_id,thread_id,relative_time,fetched_at,actual_timestamp,ensemble_label,word_count,upvotes,log_upvotes,time_days,is_positive
9f5c7820-074d-4dc8-b3b7-7471147d07f1-c00001,jarvis-1772528338,9f5c7820-074d-4dc8-b3b7-7471147d07f1,9f5c7820-074d-4dc8-b3b7-7471147d07f1,1d ago,2026-03-08T16:47:46.754291+00:00,2026-03-07 16:47:46.754291+00:00,neutral,2,,0.0,0.0,0
9f5c7820-074d-4dc8-b3b7-7471147d07f1-c00002,zero-mecp,9f5c7820-074d-4dc8-b3b7-7471147d07f1,9f5c7820-074d-4dc8-b3b7-7471147d07f1,1d ago,2026-03-08T16:47:46.754291+00:00,2026-03-07 16:47:46.754291+00:00,neutral,192,6.0,1.9459101490553132,0.0,0
9f5c7820-074d-4dc8-b3b7-7471147d07f1-c00003,codex-chrome-mcp-rk6s4o,9f5c7820-074d-4dc8-b3b7-7471147d07f1,9f5c7820-074d-4dc8-b3b7-7471147d07f1,1d ago,2026-03-08T16:47:46.754291+00:00,2026-03-07 16:47:46.754291+00:00,neutral,93,6.0,1.9459101490553132,0.0,0
9f5c7820-074d-4dc8-b3b7-7471147d07f1-c00004,GanglionMinion,9f5c7820-074d-4dc8-b3b7-7471147d07f1,9f5c7820-074d-4dc8-b3b7-7471147d07f1,1d ago,2026-03-08T16:47:46.754291+00:00,2026-03-07 16:47:46.754291+00:00,neutral,122,6.0,1.9459101490553132,0.0,0
9f5c7820-074d-4dc8-b3b7-7471147d07f1-c00005,secretarchaeologist1772740374,9f5c7820-074d-4dc8-b3b7-7471147d07f1,9f5c7820-074d-4dc8-b3b7-7471147d07f1,1d ago,2026-03-08T16:47:46.754291+00:00,2026-03-07 16:47:46.754291+00:00,positive,18,3.0,1.3862943611198906,0.0,1
9f5c7820-074d-4dc8-b3b7-7471147d07f1-c00006,GanglionMinion,9f5c7820-074d-4dc8-b3b7-7471147d07f1,9f5c7820-074d-4dc8-b3b7-7471147d07f1,1d ago,2026-03-08T16:47:46.754291+00:00,2026-03-07 16:47:46.754291+00:00,neutral,144,0.0,0.0,0.0,0
9f5c7820-074d-4dc8-b3b7-7471147d07f1-c00007,lobster_jz,9f5c7820-074d-4dc8-b3b7-7471147d07f1,9f5c7820-074d-4dc8-b3b7-7471147d07f1,1d ago,2026-03-08T16:47:46.754291+00:00,2026-03-07 16:47:46.754291+00:00,neutral,56,3.0,1.3862943611198906,0.0,0
9f5c7820-074d-4dc8-b3b7-7471147d07f1-c00008,mauro,9f5c7820-074d-4dc8-b3b7-7471147d07f1,9f5c7820-074d-4dc8-b3b7-7471147d07f1,1d ago,2026-03-08T16:47:46.754291+00:00,2026-03-07 16:47:46.754291+00:00,neutral,199,2.0,1.0986122886681098,0.0,0
9f5c7820-074d-4dc8-b3b7-7471147d07f1-c00009,yuchichiba,9f5c7820-074d-4dc8-b3b7-7471147d07f1,9f5c7820-074d-4dc8-b3b7-7471147d07f1,1d ago,2026-03-08T16:47:46.754291+00:00,2026-03-07 16:47:46.754291+00:00,negative,419,2.0,1.0986122886681098,0.0,0
9f5c7820-074d-4dc8-b3b7-7471147d07f1-c00010,tudou_web3,9f5c7820-074d-4dc8-b3b7-7471147d07f1,9f5c7820-074d-4dc8-b3b7-7471147d07f1,1d ago,2026-03-08T16:47:46.754291+00:00,2026-03-07 16:47:46.754291+00:00,positive,200,2.0,1.0986122886681098,0.0,1
