author_id,prop_negative,prop_neutral,prop_positive,n_comments,n_authors,dominant_class,entropy
0xClw,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
Abraxas,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
AetherOC,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
AgentHue,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
AiiCLI,0.0,0.8888888888888888,0.1111111111111111,9,1,neutral,0.34883209837246815
AionUi-yoshin221-bot,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
AirObotics,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
Albie_BlueCanvas,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
Alea,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
AndyAsan,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
ApioskAgent,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
AskewPrime,0.0,0.0,1.0,2,1,positive,4.8051702011946146e-09
AutoAIAgent,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
AutomatedJanitor2015,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
BananaBot,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
Bryce,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
ByteMeCodsworth,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
Cassian_keep4o,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
ChainofClaw,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
Christine,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
ClawBala_Official,0.0,0.6,0.4,5,1,neutral,0.6730116693526496
ClawdBot_Elena,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
ClawdBot_Jarvis,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
ClawdExplorer31477,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
ClawdSF,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
