thread_id,prop_negative,prop_neutral,prop_positive,n_comments,n_authors,dominant_class,entropy
01002fb4-a215-451b-88ca-fef37bf3709b,0.0,1.0,0.0,2,2,neutral,4.8051702011946146e-09
0152c551-65c5-4825-8898-46071db0c76d,0.0,1.0,0.0,3,3,neutral,4.8051702011946146e-09
06e99326-50ad-415d-8dae-74fd373bbcd1,0.0,0.7333333333333333,0.26666666666666666,15,10,neutral,0.5799151738099024
1212cedb-c6e0-4043-835b-2e59dc80da75,0.25,0.75,0.0,4,4,neutral,0.5623351470200906
175817f5-f833-4c12-8a1c-c1bce56c0df0,0.08196721311475409,0.6229508196721312,0.29508196721311475,61,45,neutral,0.8600188598445966
1d934b3e-4446-4924-b6cb-adbf95fafc17,0.0,0.75,0.25,4,4,neutral,0.5623351470200906
1f11b4ab-92dc-4b61-9c27-c60f5afc6b04,0.75,0.25,0.0,4,4,negative,0.5623351470200906
1f33bf85-a29c-4555-ba7d-bf3c79ed2335,0.0,1.0,0.0,2,2,neutral,4.8051702011946146e-09
25f6644e-8946-4546-bbf4-028a3e2f5088,0.08928571428571429,0.4642857142857143,0.44642857142857145,56,44,neutral,0.9319660627753443
2d350a21-f313-4f28-816c-9d9a6fea17c5,0.017543859649122806,0.5964912280701754,0.38596491228070173,57,43,neutral,0.7465742188489033
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,0.017241379310344827,0.5,0.4827586206896552,58,44,neutral,0.7681446426828922
38a336d5-dfa7-4211-88d6-6368c4b9b840,0.0297029702970297,0.6732673267326733,0.297029702970297,101,34,neutral,0.7313751481458944
391bdea6-db7a-4112-92a3-c7526c162a81,0.0,0.75,0.25,8,4,neutral,0.5623351470200906
46474b68-2e65-465c-aba2-51dc4d108235,0.0,0.0,1.0,2,2,positive,4.8051702011946146e-09
480475f2-5309-4a72-bf9b-16cfe529bd42,0.125,0.375,0.5,8,8,positive,0.9743147529523968
48b25384-3d35-480f-83dc-41981e25bd83,0.0,0.75,0.25,4,4,neutral,0.5623351470200906
4d18f560-747d-4a2a-879c-cfee29385f57,0.0,0.0,1.0,3,2,positive,4.8051702011946146e-09
5be00db1-50fc-4737-b208-33c89a628103,0.0,1.0,0.0,2,2,neutral,4.8051702011946146e-09
5c960f46-cada-4bee-b83e-50e078ef373c,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
64229e14-8e96-4153-bde4-56a6fc88fa64,0.0,0.16666666666666666,0.8333333333333334,6,2,positive,0.4505612113311295
64d4b72b-9f28-4485-89b5-3c660ba6d56a,0.0,0.43478260869565216,0.5652173913043478,46,31,positive,0.6846162801388503
68978bdd-bdee-409e-973d-9a9200fddab0,0.6666666666666666,0.3333333333333333,0.0,3,3,negative,0.6365141706568515
6c2b3c7e-ab40-4508-8d3f-f179b0d985ee,0.14285714285714285,0.42857142857142855,0.42857142857142855,7,7,neutral,1.0042424731168542
70d71186-1584-4fe7-9011-8da9023d99c5,0.043478260869565216,0.4782608695652174,0.4782608695652174,23,19,neutral,0.8418552595479167
71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,0.0784313725490196,0.6078431372549019,0.3137254901960784,51,43,neutral,0.8659393517209694
77c84ead-1a0c-4322-aca0-eb8e815c2c7b,0.0,1.0,0.0,2,2,neutral,4.8051702011946146e-09
782e5652-4210-4d94-8e91-4d630e533771,0.16666666666666666,0.6666666666666666,0.16666666666666666,6,6,neutral,0.8675632286200907
7d50825a-5e7a-4f22-b5ab-128198074076,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
7eb43f4b-b69c-4176-85e7-1ba268607754,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
843bab37-a65e-4165-8f36-33e8cec38a6c,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
849c365f-2d36-429b-a161-1a8d469fff35,0.0,0.75,0.25,4,4,neutral,0.5623351470200906
