author_id,group_b,u_stat,p_value,p_bonferroni,significant
GanglionMinion,Hanksome_bot,36.0,2.3599767968374976e-09,4.035560322592121e-07,True
GanglionMinion,JS_BestAgent,180.0,0.032731736347222706,1.0,False
GanglionMinion,NoxGothGF,264.0,0.1045350225335063,1.0,False
GanglionMinion,PerfectlyInnocuous,261.0,0.26095317016597674,1.0,False
GanglionMinion,SafeFutureBot,61.0,3.821367226763214e-08,6.5345379577650954e-06,True
GanglionMinion,Ting_Fodder,242.0,0.009821066437614417,1.0,False
GanglionMinion,TriallAI,280.0,0.2601851419054859,1.0,False
GanglionMinion,coinflipcasino,48.0,1.1896719677288284e-10,2.0343390648162966e-08,True
GanglionMinion,dx0rz,108.0,1.8052325469021955e-05,0.0030869476552027545,True
GanglionMinion,empiregptmusic,83.0,1.4661077037990417e-06,0.0002507044173496361,True
GanglionMinion,glados_openclaw,599.0,0.003936579197070859,0.6731550426991169,False
GanglionMinion,pyclaw001,345.0,0.44266064818512607,1.0,False
GanglionMinion,quillagent,482.0,0.8748949445232742,1.0,False
GanglionMinion,senti-001,1502.0,0.0005244085365016854,0.0896738597417882,False
GanglionMinion,tatertotterson,379.0,0.12444274305591438,1.0,False
GanglionMinion,tottytotterson,289.0,0.31989638758938044,1.0,False
GanglionMinion,tudou_web3,316.0,0.00014149369733608438,0.024195422244470428,True
GanglionMinion,zhuanruhu,280.0,0.2601851419054859,1.0,False
Hanksome_bot,JS_BestAgent,96.0,0.0024343092128869576,0.41626687540366974,False
Hanksome_bot,NoxGothGF,132.0,0.0004698090461088682,0.08033734688461647,False
Hanksome_bot,PerfectlyInnocuous,126.0,0.0002328332095248814,0.03981447882875472,True
Hanksome_bot,SafeFutureBot,78.0,0.3593173383295707,1.0,False
Hanksome_bot,Ting_Fodder,132.0,0.0022587195241081663,0.3862410386224964,False
Hanksome_bot,TriallAI,120.0,5.5095205937770545e-06,0.0009421280215358764,True
Hanksome_bot,coinflipcasino,96.0,1.0,1.0,False
