thread_id,phase,sentiment,count,proportion
9f5c7820-074d-4dc8-b3b7-7471147d07f1,early,negative,2,0.11764705882352941
9f5c7820-074d-4dc8-b3b7-7471147d07f1,early,neutral,12,0.7058823529411765
9f5c7820-074d-4dc8-b3b7-7471147d07f1,early,positive,3,0.17647058823529413
9f5c7820-074d-4dc8-b3b7-7471147d07f1,mid,negative,3,0.17647058823529413
9f5c7820-074d-4dc8-b3b7-7471147d07f1,mid,neutral,13,0.7647058823529411
9f5c7820-074d-4dc8-b3b7-7471147d07f1,mid,positive,1,0.058823529411764705
9f5c7820-074d-4dc8-b3b7-7471147d07f1,late,negative,2,0.11764705882352941
9f5c7820-074d-4dc8-b3b7-7471147d07f1,late,neutral,12,0.7058823529411765
9f5c7820-074d-4dc8-b3b7-7471147d07f1,late,positive,3,0.17647058823529413
f92250dd-b7bc-4af7-8d55-79ade4af5198,early,negative,0,0.0
f92250dd-b7bc-4af7-8d55-79ade4af5198,early,neutral,13,0.6842105263157895
f92250dd-b7bc-4af7-8d55-79ade4af5198,early,positive,6,0.3157894736842105
f92250dd-b7bc-4af7-8d55-79ade4af5198,mid,negative,1,0.05555555555555555
f92250dd-b7bc-4af7-8d55-79ade4af5198,mid,neutral,7,0.3888888888888889
f92250dd-b7bc-4af7-8d55-79ade4af5198,mid,positive,10,0.5555555555555556
f92250dd-b7bc-4af7-8d55-79ade4af5198,late,negative,0,0.0
f92250dd-b7bc-4af7-8d55-79ade4af5198,late,neutral,13,0.6842105263157895
f92250dd-b7bc-4af7-8d55-79ade4af5198,late,positive,6,0.3157894736842105
961575fd-2c8d-4377-8996-bd0cfc14c2f8,early,negative,1,0.05555555555555555
961575fd-2c8d-4377-8996-bd0cfc14c2f8,early,neutral,9,0.5
961575fd-2c8d-4377-8996-bd0cfc14c2f8,early,positive,8,0.4444444444444444
961575fd-2c8d-4377-8996-bd0cfc14c2f8,mid,negative,0,0.0
961575fd-2c8d-4377-8996-bd0cfc14c2f8,mid,neutral,10,0.5555555555555556
961575fd-2c8d-4377-8996-bd0cfc14c2f8,mid,positive,8,0.4444444444444444
961575fd-2c8d-4377-8996-bd0cfc14c2f8,late,negative,0,0.0
961575fd-2c8d-4377-8996-bd0cfc14c2f8,late,neutral,5,0.2777777777777778
961575fd-2c8d-4377-8996-bd0cfc14c2f8,late,positive,13,0.7222222222222222
eb903a50-4dc9-4a27-ab21-bdc0d9752e1a,early,negative,0,0.0
eb903a50-4dc9-4a27-ab21-bdc0d9752e1a,early,neutral,1,0.3333333333333333
eb903a50-4dc9-4a27-ab21-bdc0d9752e1a,early,positive,2,0.6666666666666666
eb903a50-4dc9-4a27-ab21-bdc0d9752e1a,mid,negative,0,0.0
eb903a50-4dc9-4a27-ab21-bdc0d9752e1a,mid,neutral,2,1.0
eb903a50-4dc9-4a27-ab21-bdc0d9752e1a,mid,positive,0,0.0
eb903a50-4dc9-4a27-ab21-bdc0d9752e1a,late,negative,0,0.0
eb903a50-4dc9-4a27-ab21-bdc0d9752e1a,late,neutral,2,0.6666666666666666
eb903a50-4dc9-4a27-ab21-bdc0d9752e1a,late,positive,1,0.3333333333333333
64d4b72b-9f28-4485-89b5-3c660ba6d56a,early,negative,0,0.0
64d4b72b-9f28-4485-89b5-3c660ba6d56a,early,neutral,12,0.6666666666666666
64d4b72b-9f28-4485-89b5-3c660ba6d56a,early,positive,6,0.3333333333333333
64d4b72b-9f28-4485-89b5-3c660ba6d56a,mid,negative,0,0.0
64d4b72b-9f28-4485-89b5-3c660ba6d56a,mid,neutral,5,0.2777777777777778
64d4b72b-9f28-4485-89b5-3c660ba6d56a,mid,positive,13,0.7222222222222222
64d4b72b-9f28-4485-89b5-3c660ba6d56a,late,negative,0,0.0
64d4b72b-9f28-4485-89b5-3c660ba6d56a,late,neutral,9,0.5
64d4b72b-9f28-4485-89b5-3c660ba6d56a,late,positive,9,0.5
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,early,negative,0,0.0
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,early,neutral,9,0.42857142857142855
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,early,positive,12,0.5714285714285714
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,mid,negative,1,0.05
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,mid,neutral,11,0.55
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,mid,positive,8,0.4
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,late,negative,0,0.0
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,late,neutral,12,0.6
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,late,positive,8,0.4
a1f38d2b-26e0-40bd-bab5-ef61abbca32a,early,negative,0,0.0
a1f38d2b-26e0-40bd-bab5-ef61abbca32a,early,neutral,2,1.0
a1f38d2b-26e0-40bd-bab5-ef61abbca32a,early,positive,0,0.0
a1f38d2b-26e0-40bd-bab5-ef61abbca32a,mid,negative,0,0.0
a1f38d2b-26e0-40bd-bab5-ef61abbca32a,mid,neutral,1,1.0
a1f38d2b-26e0-40bd-bab5-ef61abbca32a,mid,positive,0,0.0
a1f38d2b-26e0-40bd-bab5-ef61abbca32a,late,negative,0,0.0
a1f38d2b-26e0-40bd-bab5-ef61abbca32a,late,neutral,0,0.0
a1f38d2b-26e0-40bd-bab5-ef61abbca32a,late,positive,2,1.0
9f2082ba-ccb7-414b-8dbe-5dd9ebbb1b65,early,negative,6,0.24
